Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_011106605.1	ASM1110660v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-10	5	PRJNA528846	SAMN11246289
GCF_043950355.1	KP16_UID2108280012	Klebsiella pneumoniae	GCF_043950355.1-RS_2024_10_28	Complete Genome	2024-10-28	3	PRJNA1169829	SAMN44084065
GCF_024917555.1	ASM2491755v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04	4	PRJNA836696	SAMN28174025
GCF_011106775.1	ASM1110677v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-10	5	PRJNA528846	SAMN11246288
GCF_023205035.1	ASM2320503v1	Klebsiella pneumoniae	GCF_023205035.1-RS_2024_06_08	Complete Genome	2022-05-02	3	PRJNA830710	SAMN27737682
GCF_022353585.1	ASM2235358v1	Klebsiella pneumoniae	GCF_022353585.1-RS_2024_04_30	Complete Genome	2022-02-22	5	PRJNA603241	SAMN13925535
GCF_025398355.1	ASM2539835v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-25	5	PRJNA812595	SAMN24145033
GCF_014041645.2	ASM1404164v2	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-07	6	PRJNA648810	SAMN15649156
GCF_001885255.2	ASM188525v2	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-05	7	PRJNA329409	SAMN05412444
GCF_009387815.1	ASM938781v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-29	4	PRJNA515025	SAMN10740630
GCF_041283545.1	ASM4128354v1	Klebsiella pneumoniae	GCF_041283545.1-RS_2024_08_15	Complete Genome	2024-08-15	6	PRJNA1145346	SAMN43063510
GCF_002192335.1	ASM219233v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-13	6	PRJNA292902	SAMN04014954
GCF_041200275.1	ASM4120027v1	Klebsiella pneumoniae	GCF_041200275.1-RS_2024_08_12	Complete Genome	2024-08-13	6	PRJNA1143714	SAMN43017825
GCF_018831545.1	ASM1883154v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10	5	PRJNA641146	SAMN15343240
GCF_002113865.1	ASM211386v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-27	5	PRJNA378711	SAMN04158282
GCF_029853875.1	ASM2985387v1	Klebsiella pneumoniae	GCF_029853875.1-RS_2024_05_31	Complete Genome	2023-04-22	9	PRJNA549322	SAMN34111322
GCF_043950325.1	KP13_UID2108280009	Klebsiella pneumoniae	GCF_043950325.1-RS_2024_10_28	Complete Genome	2024-10-28	3	PRJNA1169829	SAMN44084062
GCF_025920785.1	ASM2592078v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-31	4	PRJNA730998	SAMEA8550523
GCF_003288375.1	ASM328837v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-05	4	PRJNA316321	SAMN07291505
GCF_016903875.1	ASM1690387v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-17	2	PRJNA231221	SAMN16357471
GCF_024584475.1	ASM2458447v1	Klebsiella pneumoniae	GCF_024584475.1-RS_2024_09_07	Complete Genome	2022-08-08	5	PRJNA864578	SAMN30074657
GCF_033243425.1	ASM3324342v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-02	7	PRJNA1010831	SAMN37951968
GCF_018314115.1	ASM1831411v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-05-10	4	PRJNA725664	SAMN18898379
GCF_003855535.1	ASM385553v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-02	1	PRJNA505940	SAMN10439690
GCF_003855555.1	ASM385555v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-02	1	PRJNA505947	SAMN10439712
GCF_036287625.1	ASM3628762v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-29	5	PRJNA1064408	SAMN39500185
GCF_040687985.1	ASM4068798v1	Klebsiella pneumoniae	GCF_040687985.1-RS_2024_07_14	Complete Genome	2024-07-14	8	PRJNA1129078	SAMN42123393
GCF_029854575.1	ASM2985457v1	Klebsiella pneumoniae	GCF_029854575.1-RS_2024_06_01	Complete Genome	2023-04-23	3	PRJNA955295	SAMN34174741
GCF_041861125.1	ASM4186112v1	Klebsiella pneumoniae	GCF_041861125.1-RS_2024_09_08	Complete Genome	2024-09-09	5	PRJNA835677	SAMN28626228
GCF_041861075.1	ASM4186107v1	Klebsiella pneumoniae	GCF_041861075.1-RS_2024_09_08	Complete Genome	2024-09-09	5	PRJNA835677	SAMN28626246
GCF_041200285.1	ASM4120028v1	Klebsiella pneumoniae	GCF_041200285.1-RS_2024_08_12	Complete Genome	2024-08-13	6	PRJNA1143716	SAMN43017826
GCF_033242065.1	ASM3324206v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-02	7	PRJNA1010831	SAMN37951969
GCF_015356015.1	ASM1535601v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-12	5	PRJNA672246	SAMN16561283
GCF_038691155.1	hvKp2	Klebsiella pneumoniae	GCF_038691155.1-RS_2024_04_30	Complete Genome	2024-05-01	2	PRJNA1090858	SAMN41018409
GCF_040763075.1	ASM4076307v1	Klebsiella pneumoniae	GCF_040763075.1-RS_2024_07_19	Complete Genome	2024-07-19	4	PRJNA1071971	SAMN32542124
GCF_041860925.1	ASM4186092v1	Klebsiella pneumoniae	GCF_041860925.1-RS_2024_09_08	Complete Genome	2024-09-09	3	PRJNA835677	SAMN28626329
GCF_039520935.1	ASM3952093v1	Klebsiella pneumoniae	GCF_039520935.1-RS_2024_05_07	Complete Genome	2024-05-08	4	PRJNA1104387	SAMN41076127
GCF_025643115.1	ASM2564311v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11	4	PRJNA756735	SAMN20924843
GCF_020405265.1	ASM2040526v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-10	5	PRJNA766751	SAMN21874043
GCF_029773585.1	ASM2977358v1	Klebsiella pneumoniae	GCF_029773585.1-RS_2024_05_29	Complete Genome	2023-04-17	4	PRJNA784325	SAMN23482372
GCF_012944055.1	ASM1294405v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-02	2	PRJNA623171	SAMN14540328
GCF_002211905.1	ASM221190v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-30	4	PRJNA391323	SAMN07265011
GCF_904864475.1	INF168	Klebsiella pneumoniae	GCF_904864475.1-RS_2024_06_28	Complete Genome	2020-11-01	3	PRJNA646837	SAMEA3357096
GCF_041344895.1	ASM4134489v1	Klebsiella pneumoniae	GCF_041344895.1-RS_2024_08_20	Complete Genome	2024-08-21	4	PRJNA1145326	SAMN43062716
GCF_036417685.1	ASM3641768v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-02-06	4	PRJNA1070833	SAMN39665566
GCF_003038215.3	ASM303821v3	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-11	6	PRJNA353728	SAMN08624619
GCF_002180175.1	ASM218017v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-08	4	PRJNA292902	SAMN04014987
GCF_042190245.1	ASM4219024v1	Klebsiella pneumoniae	GCF_042190245.1-RS_2024_09_25	Complete Genome	2024-09-25	2	PRJNA598819	SAMN13742267
GCF_002257935.4	ASM225793v4	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-11	3	PRJNA353728	SAMN06671956
GCF_044911575.1	ASM4491157v1	Klebsiella pneumoniae	GCF_044911575.1-RS_2024_11_15	Complete Genome	2024-11-20	11	PRJNA892659	SAMN31393996
GCF_013834745.1	ASM1383474v1	Klebsiella pneumoniae	GCF_013834745.1-RS_2024_05_15	Complete Genome	2020-07-28	4	PRJNA605147	SAMN15148246
GCF_015278095.1	ASM1527809v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-08	4	PRJNA671644	SAMN16539551
GCF_002202235.1	ASM220223v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-20	6	PRJNA292902	SAMN04014993
GCF_001708225.1	ASM170822v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-19	2	PRJNA330755	SAMN05425526
GCF_021397585.1	ASM2139758v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-10	7	PRJNA553055	SAMN24255899
GCF_044603305.1	ASM4460330v1	Klebsiella pneumoniae	GCF_044603305.1-RS_2024_11_07	Complete Genome	2024-11-07	4	PRJNA1175428	SAMN44361702
GCF_002202215.1	ASM220221v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-20	5	PRJNA292902	SAMN04014986
GCF_001908625.1	ASM190862v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	6	PRJNA329409	SAMN05412797
GCF_022369815.1	ASM2236981v1	Klebsiella pneumoniae	GCF_022369815.1-RS_2024_06_10	Complete Genome	2022-02-23	5	PRJNA643814	SAMN15437788
GCF_029541885.1	ASM2954188v1	Klebsiella pneumoniae	GCF_029541885.1-RS_2024_05_24	Complete Genome	2023-04-03	4	PRJNA786075	SAMN23617027
GCF_021166095.1	ASM2116609v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-12	3	PRJNA549322	SAMN23552371
GCF_037477755.1	ASM3747775v1	Klebsiella pneumoniae	GCF_037477755.1-RS_2024_04_05	Complete Genome	2024-04-05	6	PRJNA945360	SAMN33790399
GCF_033245965.1	ASM3324596v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-02	4	PRJNA1010831	SAMN37951965
GCF_001908875.1	ASM190887v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	6	PRJNA329409	SAMN05412459
GCF_001908595.1	ASM190859v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	6	PRJNA329409	SAMN05412458
GCF_001908655.1	ASM190865v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	6	PRJNA329409	SAMN05412802
GCF_001908695.1	ASM190869v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	6	PRJNA329409	SAMN05412804
GCF_001908675.1	ASM190867v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	6	PRJNA329409	SAMN05412803
GCF_001956965.1	ASM195696v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-19	5	PRJNA329409	SAMN05412796
GCF_030845475.1	ASM3084547v1	Klebsiella pneumoniae	GCF_030845475.1-RS_2024_09_06	Complete Genome	2023-08-20	3	PRJNA981468	SAMN36071311
GCF_021137935.1	ASM2113793v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-09	8	PRJNA759850	SAMN21016543
GCF_023612395.1	ASM2361239v1	Klebsiella pneumoniae	GCF_023612395.1-RS_2024_06_20	Complete Genome	2022-05-31	7	PRJNA579943	SAMN18062624
GCF_015159775.2	ASM1515977v2	Klebsiella pneumoniae	GCF_015159775.2-RS_2024_05_30	Complete Genome	2022-04-04	8	PRJNA668026	SAMN16393502
GCF_037477845.1	ASM3747784v1	Klebsiella pneumoniae	GCF_037477845.1-RS_2024_04_05	Complete Genome	2024-04-05	5	PRJNA945360	SAMN33790402
GCF_004120055.1	ASM412005v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-30	2	PRJNA430916	SAMN08380933
GCF_022369925.1	ASM2236992v1	Klebsiella pneumoniae	GCF_022369925.1-RS_2024_06_10	Complete Genome	2022-02-23	5	PRJNA643814	SAMN15437778
GCF_008122285.1	ASM812228v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-28	1	PRJNA548051	SAMN11998170
GCF_002258055.3	ASM225805v3	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-06	6	PRJNA353728	SAMN06671971
GCF_019455345.1	ASM1945534v1	Klebsiella pneumoniae	GCF_019455345.1-RS_2024_05_21	Complete Genome	2021-08-05	2	PRJNA646893	SAMN15567838
GCF_021166135.1	ASM2116613v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-12	11	PRJNA549322	SAMN23552368
GCF_003932915.1	ASM393291v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-10	3	PRJNA351750	SAMN07811429
GCF_030323665.1	ASM3032366v1	Klebsiella pneumoniae	GCF_030323665.1-RS_2024_07_01	Complete Genome	2023-06-22	3	PRJNA543208	SAMN11658403
GCF_035598475.1	ASM3559847v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-11	4	PRJNA1010831	SAMN38771710
GCF_035184745.2	ASM3518474v2	Klebsiella pneumoniae	GCF_035184745.2-RS_2024_04_05	Complete Genome	2024-04-05	5	PRJNA893438	SAMN31423285
GCF_011045775.1	ASM1104577v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-02	4	PRJNA599031	SAMN13737869
GCF_025258665.1	ASM2525866v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	4	PRJNA692086	SAMN29161340
GCF_011742285.2	ASM1174228v2	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-07	8	PRJNA613369	SAMN14402321
GCF_030323685.1	ASM3032368v1	Klebsiella pneumoniae	GCF_030323685.1-RS_2024_07_01	Complete Genome	2023-06-22	3	PRJNA528408	SAMN11230747
GCF_003031325.1	ASM303132v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-03	6	PRJNA418211	SAMN08022168
GCF_026016005.1	ASM2601600v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-07	2	PRJNA895758	SAMN31523650
GCF_041283535.1	ASM4128353v1	Klebsiella pneumoniae	GCF_041283535.1-RS_2024_08_15	Complete Genome	2024-08-15	6	PRJNA1145340	SAMN43062803
GCF_023538935.1	ASM2353893v1	Klebsiella pneumoniae	GCF_023538935.1-RS_2024_06_16	Complete Genome	2022-05-24	4	PRJNA838107	SAMN28404993
GCF_043099505.1	ASM4309950v1	Klebsiella pneumoniae	GCF_043099505.1-RS_2024_10_15	Complete Genome	2024-10-20	13	PRJNA1166943	SAMN43983155
GCF_904865685.1	INF182	Klebsiella pneumoniae	GCF_904865685.1-RS_2024_06_28	Complete Genome	2020-11-01	2	PRJNA646837	SAMEA3357121
GCF_023920005.1	ASM2392000v1	Klebsiella pneumoniae	GCF_023920005.1-RS_2024_07_11	Complete Genome	2022-06-27	4	PRJNA757547	SAMN20966683
GCF_021137675.1	ASM2113767v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-09	7	PRJNA759850	SAMN21016532
GCF_030503755.1	ASM3050375v1	Klebsiella pneumoniae	GCF_030503755.1-RS_2024_07_23	Complete Genome	2023-07-18	4	PRJNA732824	SAMN17976209
GCF_030845735.1	ASM3084573v1	Klebsiella pneumoniae	GCF_030845735.1-RS_2024_09_06	Complete Genome	2023-08-20	1	PRJNA981468	SAMN36071298
GCF_023538955.1	ASM2353895v1	Klebsiella pneumoniae	GCF_023538955.1-RS_2024_06_16	Complete Genome	2022-05-24	4	PRJNA838107	SAMN28404992
GCF_039704375.1	ASM3970437v1	Klebsiella pneumoniae	GCF_039704375.1-RS_2024_05_21	Complete Genome	2024-05-23	4	PRJNA1110030	SAMN41315805
GCF_028221085.1	ASM2822108v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-30	5	PRJNA888051	SAMN31207055
GCF_903993025.2	AI2766v1_cp	Klebsiella pneumoniae	GCF_903993025.2-RS_2024_06_19	Complete Genome	2022-05-24	8	PRJEB39112	SAMEA7082325
GCF_904866235.1	INF122	Klebsiella pneumoniae	GCF_904866235.1-RS_2024_06_28	Complete Genome	2020-11-01	3	PRJNA646837	SAMEA3357009
GCF_032833975.1	ASM3283397v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-18	5	PRJNA528846	SAMN37176446
GCF_014788765.1	ASM1478876v1	Klebsiella pneumoniae	GCF_014788765.1-RS_2024_05_18	Complete Genome	2020-09-29	3	PRJNA664089	SAMN16197931
GCF_964199015.1	Zagreb005_hybrid_assembly.fa.gz	Klebsiella pneumoniae	GCF_964199015.1-RS_2024_07_15	Complete Genome	2024-07-15	11	PRJEB76496	SAMEA115720008
GCF_032878755.1	ASM3287875v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-20	6	PRJNA843573	SAMN28747375
GCF_037477825.1	ASM3747782v1	Klebsiella pneumoniae	GCF_037477825.1-RS_2024_04_05	Complete Genome	2024-04-05	6	PRJNA945360	SAMN33790407
GCF_039704295.1	ASM3970429v1	Klebsiella pneumoniae	GCF_039704295.1-RS_2024_05_21	Complete Genome	2024-05-23	3	PRJNA1110025	SAMN41315736
GCF_023715965.1	ASM2371596v1	Klebsiella pneumoniae	GCF_023715965.1-RS_2024_07_24	Complete Genome	2022-06-14	1	PRJNA846980	SAMN28907143
GCF_024918075.1	ASM2491807v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04	4	PRJNA836696	SAMN28174007
GCF_024918455.1	ASM2491845v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04	3	PRJNA836696	SAMN28173993
GCF_018449045.1	ASM1844904v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-05-23	6	PRJNA719697	SAMN19107292
GCF_017310305.1	ASM1731030v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-09	4	PRJNA648010	SAMN15676897
GCF_022353825.1	ASM2235382v1	Klebsiella pneumoniae	GCF_022353825.1-RS_2024_05_01	Complete Genome	2022-02-22	4	PRJNA603241	SAMN13925541
GCF_002258145.4	ASM225814v4	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-22	4	PRJNA353728	SAMN06671960
GCF_001663435.1	ASM166343v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-06-16	2	PRJNA279655	SAMN03455975
GCF_009556655.1	ASM955665v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-05	3	PRJNA579868	SAMN13135504
GCF_041861345.1	ASM4186134v1	Klebsiella pneumoniae	GCF_041861345.1-RS_2024_09_09	Complete Genome	2024-09-09	2	PRJNA922900	SAMN32676061
GCF_904865695.1	INF319	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-01	5	PRJNA646837	SAMEA3357187
GCF_017894305.1	ASM1789430v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-09	3	PRJNA631924	SAMN14897097
GCF_027126715.1	ASM2712671v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-19	6	PRJNA263680	SAMN23708555
GCF_037157685.1	ASM3715768v1	Klebsiella pneumoniae	GCF_037157685.1-RS_2024_04_05	Complete Genome	2024-04-05	4	PRJNA1025935	SAMN40144595
GCF_019038575.1	ASM1903857v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-26	7	PRJNA738490	SAMN19730657
GCF_024346855.1	ASM2434685v1	Klebsiella pneumoniae	GCF_024346855.1-RS_2024_08_11	Complete Genome	2022-07-20	5	PRJNA688366	SAMN17173860
GCF_013407715.1	ASM1340771v1	Klebsiella pneumoniae	GCF_013407715.1-RS_2024_05_20	Complete Genome	2020-07-13	1	PRJNA550175	SAMN12109800
GCF_003432185.1	ASM343218v1	Klebsiella pneumoniae	GCF_003432185.1-RS_2024_06_28	Complete Genome	2018-08-30	2	PRJNA486877	SAMEA3357145
GCF_904863145.1	INF072	Klebsiella pneumoniae	GCF_904863145.1-RS_2024_06_28	Complete Genome	2020-11-01	4	PRJNA646837	SAMEA3357068
GCF_015774955.1	ASM1577495v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-07	4	PRJNA681357	SAMN16951199
GCF_015775135.1	ASM1577513v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-07	4	PRJNA681357	SAMN16951198
GCF_040256655.1	ASM4025665v1	Klebsiella pneumoniae	GCF_040256655.1-RS_2024_06_21	Complete Genome	2024-06-21	3	PRJNA1108951	SAMN41258613
GCF_024498895.1	ASM2449889v1	Klebsiella pneumoniae	GCF_024498895.1-RS_2024_08_27	Complete Genome	2022-08-01	2	PRJNA795853	SAMN24790942
GCF_013407825.1	ASM1340782v1	Klebsiella pneumoniae	GCF_013407825.1-RS_2024_05_17	Complete Genome	2020-07-13	1	PRJNA550175	SAMN12109799
GCF_016903235.1	ASM1690323v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-17	8	PRJNA231221	SAMN16357466
GCF_003037325.3	ASM303732v3	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-22	4	PRJNA353728	SAMN08624668
GCF_019443545.1	ASM1944354v1	Klebsiella pneumoniae	GCF_019443545.1-RS_2024_06_04	Complete Genome	2021-08-03	9	PRJNA749815	SAMN20422817
GCF_014170935.1	ASM1417093v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-21	7	PRJDB6962	SAMD00194474
GCF_042134635.1	ASM4213463v1	Klebsiella pneumoniae	GCF_042134635.1-RS_2024_09_22	Complete Genome	2024-09-22	3	PRJNA1102845	SAMN43381725
GCF_036599745.1	ASM3659974v1	Klebsiella pneumoniae	GCF_036599745.1-RS_2024_04_05	Complete Genome	2024-04-05	4	PRJNA1071731	SAMN39726040
GCF_003931835.1	ASM393183v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-09	1	PRJNA507542	SAMN10497376
GCF_002848565.1	ASM284856v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-28	5	PRJNA422509	SAMN08180799
GCF_009734105.1	ASM973410v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-07	5	PRJNA591422	SAMN13381623
GCF_036598075.1	ASM3659807v1	Klebsiella pneumoniae	GCF_036598075.1-RS_2024_04_05	Complete Genome	2024-04-05	4	PRJNA1071731	SAMN39726039
GCF_022701055.1	ASM2270105v1	Klebsiella pneumoniae	GCF_022701055.1-RS_2024_05_27	Complete Genome	2022-03-28	10	PRJNA663420	SAMN16178551
GCF_030845455.1	ASM3084545v1	Klebsiella pneumoniae	GCF_030845455.1-RS_2024_09_06	Complete Genome	2023-08-20	3	PRJNA981468	SAMN36071312
GCF_022213425.1	ASM2221342v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-13	3	PRJNA801716	SAMN25378372
GCF_016925415.1	ASM1692541v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-24	5	PRJNA701851	SAMN17915109
GCF_904863325.1	INF354	Klebsiella pneumoniae	GCF_904863325.1-RS_2024_06_28	Complete Genome	2020-11-01	5	PRJNA646837	SAMEA3357254
GCF_017310325.1	ASM1731032v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-09	5	PRJNA648010	SAMN15676890
GCF_009791495.1	ASM979149v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-23	9	PRJNA591422	SAMN13578407
GCF_015289985.1	ASM1528998v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-09	3	PRJNA672205	SAMN16560571
GCF_036429575.1	ASM3642957v1	Klebsiella pneumoniae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-02-07	4	PRJNA1071287	SAMN39683583
GCF_015910145.1	ASM1591014v1	Klebsiella pneumoniae	GCF_015910145.1-RS_2024_05_22	Complete Genome	2020-12-10	7	PRJNA599404	SAMN13747524
GCF_041861145.1	ASM4186114v1	Klebsiella pneumoniae	GCF_041861145.1-RS_2024_09_08	Complete Genome	2024-09-09	3	PRJNA835677	SAMN28626224
GCF_904864535.1	INF313	Klebsiella pneumoniae	GCF_904864535.1-RS_2024_06_28	Complete Genome	2020-11-01	7	PRJNA646837	SAMEA3357177
